         67906 function calls (65151 primitive calls) in 0.573 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.003    0.000    0.003    0.000 {built-in method _imp.exec_dynamic}
      324    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      162    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.003    0.003 runner.py:1(<module>)
       20    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       22    0.000    0.000    0.003    0.000 sre_compile.py:598(_code)
        2    0.000    0.000    0.003    0.002 function_base.py:1(<module>)
      349    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.003    0.003 polynomial.py:57(<module>)
        1    0.000    0.000    0.003    0.003 api.py:1(<module>)
        1    0.000    0.000    0.003    0.003 linecache.py:6(<module>)
        1    0.000    0.000    0.003    0.003 pickle.py:24(<module>)
      277    0.000    0.000    0.003    0.000 function_base.py:431(add_newdoc)
       61    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
      202    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
       20    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
      187    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.003    0.003 signals.py:1(<module>)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        2    0.002    0.001    0.002    0.001 numeric.py:1121(outer)
   114/22    0.001    0.000    0.002    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.002    0.002 financial.py:12(<module>)
      459    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1872    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
      257    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.002    0.002 __init__.py:27(<module>)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
        1    0.000    0.000    0.002    0.002 struct.py:3(<module>)
       53    0.000    0.000    0.002    0.000 enum.py:284(__call__)
     2816    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.002    0.001 enum.py:633(_convert)
       11    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
       14    0.000    0.000    0.002    0.000 hashlib.py:116(__get_openssl_constructor)
      187    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
        1    0.000    0.000    0.002    0.002 fractions.py:4(<module>)
        8    0.000    0.000    0.002    0.000 hashlib.py:73(__get_builtin_constructor)
        3    0.000    0.000    0.002    0.001 enum.py:389(_create_)
        1    0.000    0.000    0.002    0.002 fftpack.py:32(<module>)
     2070    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      459    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        1    0.000    0.000    0.001    0.001 GifImagePlugin.py:27(<module>)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
      162    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        3    0.000    0.000    0.001    0.000 enum.py:135(__new__)
      192    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
        1    0.000    0.000    0.001    0.001 string.py:15(<module>)
      182    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x105725778}
        1    0.000    0.000    0.001    0.001 _internal.py:6(<module>)
      459    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
       53    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
      187    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 type_check.py:3(<module>)
        1    0.000    0.000    0.001    0.001 parse.py:28(<module>)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
     2422    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 getlimits.py:96(_register_known_types)
      202    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1121    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
     2014    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
        1    0.000    0.000    0.001    0.001 TiffTags.py:20(<module>)
        7    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
     4010    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
     4070    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        2    0.001    0.000    0.001    0.000 {built-in method io.open}
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
       17    0.000    0.000    0.001    0.000 abc.py:125(__new__)
      486    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        1    0.000    0.000    0.001    0.001 PngImagePlugin.py:34(<module>)
     1659    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1333    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.001    0.001 version.py:93(StrictVersion)
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      324    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      447    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      162    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       30    0.000    0.000    0.001    0.000 getlimits.py:43(<lambda>)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 TiffTags.py:356(_populate)
        2    0.000    0.000    0.001    0.000 warnings.py:96(_showwarnmsg)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        2    0.000    0.000    0.001    0.000 warnings.py:20(_showwarnmsg_impl)
       44    0.000    0.000    0.001    0.000 core.py:146(get_object_signature)
       22    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
      202    0.000    0.000    0.001    0.000 {built-in method builtins.any}
        2    0.000    0.000    0.000    0.000 warnings.py:117(_formatwarnmsg)
        2    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
      725    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
        2    0.000    0.000    0.000    0.000 linecache.py:15(getline)
       26    0.000    0.000    0.000    0.000 core.py:6567(__init__)
        2    0.000    0.000    0.000    0.000 linecache.py:37(getlines)
2127/2003    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 linecache.py:82(updatecache)
       26    0.000    0.000    0.000    0.000 core.py:6572(getdoc)
       53    0.000    0.000    0.000    0.000 core.py:892(__init__)
        1    0.000    0.000    0.000    0.000 difflib.py:27(<module>)
   134/45    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.000    0.000 polynomial.py:4(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1499(_array_str_implementation)
      587    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:463(wrapper)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
      162    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
      102    0.000    0.000    0.000    0.000 re.py:170(match)
        4    0.000    0.000    0.000    0.000 core.py:123(doc_note)
      103    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
      114    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6819(add_newdoc_for_scalar_type)
      587    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
     1247    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        4    0.000    0.000    0.000    0.000 re.py:205(split)
      291    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      486    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     1247    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
        3    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       39    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
        1    0.000    0.000    0.000    0.000 tokenize.py:443(open)
       24    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
      310    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:416(ImageFileDirectory_v2)
        1    0.000    0.000    0.000    0.000 version.py:267(LooseVersion)
      934    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
     2250    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.000    0.000 function_base.py:37(linspace)
        3    0.000    0.000    0.000    0.000 PngImagePlugin.py:711(putchunk)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      408    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       27    0.000    0.000    0.000    0.000 core.py:919(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
        4    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
      214    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       51    0.000    0.000    0.000    0.000 _internal.py:840(_ufunc_doc_signature_formatter)
       43    0.000    0.000    0.000    0.000 enum.py:70(__setitem__)
      358    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 Image.py:2482(fromarray)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:729(write)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:359(_get_scalar_type_map)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
       23    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
      768    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
        3    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      526    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      294    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       18    0.000    0.000    0.000    0.000 core.py:995(__init__)
      103    0.000    0.000    0.000    0.000 <string>:1(__new__)
       22    0.000    0.000    0.000    0.000 enum.py:836(__and__)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
      515    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        3    0.000    0.000    0.000    0.000 enum.py:830(__or__)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
       17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        8    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 {method 'max' of 'numpy.ndarray' objects}
       50    0.000    0.000    0.000    0.000 enum.py:526(__new__)
        2    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
      102    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       10    0.000    0.000    0.000    0.000 extras.py:238(__init__)
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:2421(frombuffer)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        4    0.000    0.000    0.000    0.000 re.py:185(sub)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       10    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
        1    0.000    0.000    0.000    0.000 _methods.py:26(_amax)
      303    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      194    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
       10    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
      202    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       66    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        4    0.000    0.000    0.000    0.000 numeric.py:3083(extend_all)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        3    0.000    0.000    0.000    0.000 enum.py:177(<setcomp>)
        3    0.000    0.000    0.000    0.000 enum.py:654(<listcomp>)
      237    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.000    0.000 laguerre.py:60(<module>)
       53    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6265(__new__)
        1    0.000    0.000    0.000    0.000 Image.py:2347(new)
        1    0.000    0.000    0.000    0.000 hermite.py:60(<module>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
      245    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
       11    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       13    0.000    0.000    0.000    0.000 mixins.py:40(_inplace_binary_method)
        1    0.000    0.000    0.000    0.000 core.py:2710(MaskedArray)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
       53    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        2    0.000    0.000    0.000    0.000 enum.py:793(_missing_)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
       58    0.000    0.000    0.000    0.000 enum.py:376(__setattr__)
        2    0.000    0.000    0.000    0.000 enum.py:800(_create_pseudo_member_)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 pickle.py:1021(_Unpickler)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
       10    0.000    0.000    0.000    0.000 abc.py:130(register)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        4    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
      175    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
        1    0.000    0.000    0.000    0.000 _datasource.py:269(DataSource)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
      251    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      317    0.000    0.000    0.000    0.000 overrides.py:111(array_function_dispatch)
       10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 Image.py:524(Image)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       22    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8007(__init__)
      276    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 fromnumeric.py:2083(any)
        2    0.000    0.000    0.000    0.000 enum.py:872(_decompose)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
      377    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      317    0.000    0.000    0.000    0.000 overrides.py:146(decorator)
        1    0.000    0.000    0.000    0.000 random.py:88(__init__)
    23/10    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        2    0.000    0.000    0.000    0.000 fromnumeric.py:69(_wrapreduction)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:22(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:350(detect_encoding)
        1    0.000    0.000    0.000    0.000 random.py:97(seed)
        1    0.000    0.000    0.000    0.000 error.py:2(<module>)
      122    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        8    0.000    0.000    0.000    0.000 core.py:8012(getdoc)
    23/10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       23    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
