,Song_name,red-hot-chili-peppers
47,factory of faith   ,"""All my life I was swinging for the fence I was looking for the triple Never playing good defence Gunning for the glitter Every hot and heavy hitter She was never really there So I couldn't really get her, said"", ""Factually, I I'm just a piece of it Factually, I The very least of it Piece of work, I was really quite a jerk Keeping score was such a bore A busy mind can go berserk Feast on this, I was fishing for a So I took a little drip And I opened up the book, I said"", ""Factually, I I'm just a piece of it Factually, I The very least of it Factually, I It's just a medicine Makes you wanna cry Why don't they let us in? Be my wife"", ""I think you're right that we should mate"", ""Tell your friends I got a factory of faith"", ""Late last night I had a dream that it was great"", ""Tell your friends I got a factory of faith I got a factory of... Crack your whip"", ""She's confessing from the hip She was good for getting there But not as much a round trip"", ""All this time I was searching for a dream I was living in and out Of every other sex machine Factually, I I'm just a piece of it Factually, I The very least of it Factually, I It's just a medicine Makes you wanna cry Why don't they let us in? Be my wife I think you're right that we should mate Tell your friends I got a factory of faith Late last night I had a dream that it was great Tell your friends I got a factory of faith I got a factory of... Be my wife I think you're right that we should mate Tell your friends I got a factory of faith Late last night I had a dream that it was great Tell your friends I got a factory of faith I got a factory of... Faith And love... And Looo..."""
48,good time boys   ,"""Indeed it may seem that we have strange ways but we do it with compassion and don't believe in age travel 'round the world gettin' naked on the stage bustin' people out of their everyday cage we like to think we make a sad man happy and we like to make proud our mammy and pappy funky young kings we sing of truth and soul we're the modern day braves with one strong hold through the world of song our boldness is exposed I'm talkin' 'bout my buddy's funk it up fishbone"", ""Refrain: Good good time boys make me feel good give me good times yea yea yea yea"", ""Our devotion to emotion is more than evident to the minds that are open it's you we represent we hope you have enjoyed the time that you have spent one day the good time boys might jest be president like a pack of mad hatters who come from outer space our swinging's gonna shatter every stone cold face now you may not know the exact reason why a band commands attention from the mountains and the sky makin' more that money more than money can buy I stop! and take a listen to the monsters try"", ""Refrain"", ""If you don't believe me you can ask John Doe 'cause his heart is made of glory and his voice is make of gold he'll tell you in a minute about the men he knows he'll tell you 'bout the band called fire hose to those of you who doubt the nature of our spirit we play it out loud for everyone to hear it building up our brains with the supernatural powers we take it from the trees and the mighty watts towers aim the flame of freedom at the lames and sours we're the best of the west and the west is ours"", ""Refrain"""
49,my friends   ,"""My friends are so depressed I feel the question of your loneliness Confide, 'cause I'll be on your side You know I will You know I will"", ""Ex-girlfriend called me up Alone and desperate on the prison phone They want to give her seven years For being sad"", ""I love all of you Hurt by the cold So hard and lonely too When you don't know yourself"", ""My friends are so distressed And standing on the brink of emptiness No words I know of to express This emptiness"", ""I love all of you Hurt by the cold So hard and lonely too When you don't know yourself"", ""Imagine me Taught by tragedy Release is peace"", ""I heard a little girl And what she said was something beautiful To give your love no matter what Is what she said I love all of you Hurt by the cold So hard and lonely too When you don't know yourself"""
50,mellowship sunky in bmajor   ,"""I've got a mellowship, I've got a fellowship I've got a nonstop \""yo swan\"" hello chip Born to adore the big bad bison Thunderstorm and a man like Tyson Popcorn peanuts lookin' at big butts No I can not keep my mouth shut Rockin' to the beat of the fabulous forum My Lakers I adore 'em Blush my lady when I tell her The I do indeed love to smell her Sopping wet your pink umbrella Do the dog with Isabella"", ""I'm so in love yes with an artist Imagination, he's the smartest Robert Williams, stroke and splatter I attest to your gray matter Living kings how true it rings These are just a few of my favorite things"", ""Good God where's my sleigh Good God playing for days Good God any day now Good God take me away Good God purple haze Good God the baddest of brains Good God anyday now Good God ridin' my sleigh now"", ""Being that I'm the duke of my domain My hat goes off to Mark Twain Singing a song about what true men don't do Killing another creature that's kind of blue Writing about the world of the wild coyote Good man Truman Copote Talking about my throughts 'cuase they must grow Cock my brain to shoot my load I'm on the porch 'cause I lost my housekey Pick up my book I read Bukowski Can I get another kiss from you Kiss me right here on my tattoo"", ""(repeat 1st half of Good God section)"", ""Good God DeNiro's insane Good God rackin' my brain Good God anyday now Good God take me away now take me away"", ""Me my friends and the sex machine Do unto others like my brother Bean I know you've got a mother So give her a hug I know you've got a mother With a whole lot of love Billy sings and Basie swings These are just a few of my favorite things"""
51,midnight   ,"""Things will never be the same Still I'm awfully glad I came Resonating in the shape of things to come Never waiting when I know there's only one"", ""Messed it up but rest assured No one ever thinks they're cured Just a minute while I reinvent myself Make it up and then I take it off the shelf"", ""Over the laws of light Over the moon by midnight Let's do it all this time Everyone wishing well, we go"", ""And everyone knows, anything goes And now we are the lotus kids All better take note of this For the story"", ""The rising moon is on the shine The blood of Scorpios a nine Like the fear that's in the eyes of every Doe Say it now 'cause John and Jane would like to know"", ""Is it safe inside your head? Songs to serenade the dead All along I said I know no enemies Mix it up until there are no pedigrees"", ""Over the laws of light Over the moon by midnight Let's do it all this time Everyone wishing well, we go"", ""And everyone knows, anything goes And now we are the lotus kids All better take note of this For the story"", ""Over the laws of light Over the moon by midnight Let's do it all this time Into the shadows showing"", ""Enter the rolling tide Over the ocean so wide Let's do it all this time Everyone wishing well, we go"", ""And everyone knows, anything goes And now we are the lotus kids All better take note of this For the story"", ""Everyone knows, anything goes And now we are the loaded kids All better take note of this For the story"", ""Everyone knows, anything goes And now we are the lotus kids All better take note of this For the story"""
52,backwoods   ,"""Ah, someone spilled blood many years ago OW! Someone spilled blood, but do you know That from the backwoods where the Chuck Berries grow Come your long tall daddies of a rock and roll Oh no"", ""Take me to your backwoods now Take me to your backwoods now"", ""Spinning' down from the clouds like a tornado Spinnin' out of control like a psychedelic soul With a rhythm hittin' harder than Larry Holmes Come your long tall daddies of rock and roll Oh no"", ""Take me to your backwoods now Take me to your backwoods now Take me to your backwoods now Take me to your backwoods now"", ""Mr Uplift Mofo - my man Bo Diddley Hit sippin' a bottle of nickle ripple Play the lickity split finger licking licks For all you wicked city slick chicks And all you nitty gritty hicks He'll make your nipples ripple Make you wanna dip your dipple Make you wanna soak your hickory stick That's right Because my man has a grip on it And I do mean \""on it\"" Which brings to mind A very sinister minister kind of guy A man named Little Richard Who was born to make them bitches stir That's right he'll make the sweet substance drip From the middle of your hillbilly lips And like the farmer milks his cow The Howling Wolf will howl And since times does allow You all can take me to your backwoods now Yo slim!"", ""Take me to your backwoods now Take me to your backwoods now Take me to your backwoods now Take me to your backwoods now Take me to your backwoods"""
53,runaway   ,
54,the brothers cup   ,"""Give it up to this planet full of strife We're the brothers cup cuttin' sharp as a knife With the pop of a snap and the flip of a flap The cups went up like a natural fact"", ""It was our shoulder space That made the perfect place For the magic of the cup To style out with grace With a tight turn twist And a slight swerve swank The brothers cup kissed With a kick ass clank"", ""We are the brothers cup We like to get it up We are the brothers cup We like to get it up"", ""Give it up to this planet full of strife We're the brothers cup cuttin' sharp as a knife With the pop of a snap and the flip of a flap The cups went up like a natural fact"", ""So love all your brothers And love all your sisters Love all the misses And love all the misters Don't be shy when you're sharin' your kisses The brothers cup kiss And we ain't sissies"", ""It is our notion that the perfect peace potion Can be found in the wake of the green sea's motion The long rocking swell of the mighty blue ocean Is the cradle of peace it's the perfect peace motion"", ""Give it up to this planet full of strife We're the brothers cup cuttin' sharp as a knife"", ""With the power of the cup we are about to astound All your preconceptions they will come unbound We are the brothers cup coming to your town Bringing tubs of love we're going to spread it around"""
55,this ticonderoga   ,"""I met a man in a rock and roll band he said won't you come with me I let him know that I could not go you see I get mine for free"", ""We are all just soldiers in this battlefield of life One thing that's for certain is my burning appetite"", ""Step inside the emotional ride I could use some company Illusionary is so damn scary I call my best friend Flea"", ""This Ticonderoga is an element that shines Connected by the great unknown between us there are lines"", ""Yes I told her that I'm the older cat Can I scratch your back all day I would not have it any other way, well"", ""Means so much to me Can you see the we What are we ever gonna do when all I want to be is next to you"", ""I took a girl from the underworld and I held her way too tight When it's all been said and done she was not up for the fight"", ""We are all just soldiers in this open field of time Hoping to get with you when you get right with your mind"", ""It's my favorite So I savor it I must report that life is short So of your love I'll take ten quarts well"", ""There's no end to this Don't pretend to miss You and you would not repent for sitting on my elephant and"", ""Am I crazy to Join the lazy zoo All these human butterflies and Cactus flowers swollen eyes and"", ""I want the devil's share Of you I do declare Again I'm asking can I do When all these animals want to be just like you"", ""I met a girl with long black hair and she opened up so wide A daffodil growing in Brazil and I picked her for my bride"", ""We are all just soldiers in this epic loving flight And no one that I know has ever really done it right"", ""Done it right Done it right Done it right Done it right"""
56,stone cold bush   ,
57,grand pappy du plenty   ,"""(instrumental)"""
58,nobody weird like me   ,"""the freakiest show i know is the show of my own living my life in and out of the twilight zone"", ""bust my britches bless my soul i'm a freak of nature walking totem pole look and see i think you'll agree nobody weird like me"", ""intercourse with a porpoise is a dream for me hell bent on inventing a new species"", ""bust my britches bless my soul i'm a freak of nature walking totem pole look and see i think you'll agree nobody weird like me"", ""riding down the path on the back of a giraffe me and the giraffe laughed cause i passed some gas"", ""bust my britches bless my soul i'm a freak of nature walking totem pole look and see i think you'll agree nobody weird like me"", ""enchanted as a rabbit that my life is a dream well everything is never just as it seems"", ""the freakiest show i know is the show of my own living my life in and out of the twilight zone"""
59,emit remmus   ,"""The California animal is a bear Angeleno but the devil may care Summer time to talk and swear Later maybe we could share some air I'll take you to the movies there We could walk through Leicester square What could be wetter than An English girl American man"", ""London in the summer time Call me now use the satellite London in the summer time Cuss me out and it'll feel all right"", ""Hesitate but don't refuse The choice was yours but you said choose The look she used was green and sharp Stabbed that boy all in his heart Come what may the cosmos will Take me up and down on Primrose hill What could be wetter than An English girl American man"", ""London in the summer time Call me now use the satellite London in the summer time Cuss me out and it'll feel all right"", ""Cuss me out and it'll feel all right It's all right now Call me now use the satellite It's all right, it's all right"", ""Down and out and it'll sound all right It's all right now Down and out and it'll sound all right It's all right"", ""The California flower is poppy child Felony sends me all the gold in your smile Drift away from anyone you can Nothing ever goes according to plan Though I know that every river bends Time to say hello to snow on the Thames What could be wetter than An English girl American man"", ""London in the summer time Call me now use the satellite London in the summer time Cuss me out and it'll feel all right"""
60,warlocks   ,"""Warlocks in wonderland I've got a megatropolis in my hand And a subterranean marching band Making noise for the boys in the Vatican"", ""A little package and off we go Oh, ticky ticky tackety tic tac toe I know everybody's an Eskimo We've got another thing coming, and that's our show"", ""Every night I go looking for you Everyone in the world adores you A little packet of something kind To find your reason Coming up on it every day for Look at me and it's what I stay for A little locket of fantasy That we believe in"", ""Lilacs and contraband I've got Santa Monica in my hand A little Beatlemania when I can I've got two big bags of old Japan"", ""Ring side and blow-by-blow Another main event at the old rainbow We're comin' right on top of the tupelo When she looks just like Bridgette Bardot"", ""Every night I go looking for you Everyone in the world adores you A little packet of something kind To find your reason Coming up on it every day for Look at me and it's what I stay for A little locket of fantasy That we believe in"", ""Make a deal with Uncle Weezer Sign your name to claim China Chow will try to please her Sweetness come from Jane"", ""Warlocks in wonderland I've got a rockapotamus in my hand With a happy ending that's made of sand With a little bit of loving is all I plan"", ""Every night I go looking for you Everyone in the world adores you A little packet of something kind To find your reason Coming up on it every day for Look at me and it's what I stay for A little locket of fantasy That we believe in"", ""Every night I go looking for you Everyone in the world adores you A little packet of something kind To find your reason Coming up on it every day for Look at me and it's what I stay for A little locket of fantasy That we believe in now"""
61,leverage of space   ,"""Verse 1: Shade, stay, know all but they communicate try, fade, the leverage of space"", ""Star, jay, the fall dawn aim to place with shades on, the leverage of..."", ""Chorus: Shade, shade, shade, the leverage of, the leverage of"", ""Space, shade, shade, the leverage of, the leverage of"", ""Verse 2: Hate breaks down mountains that we make so tame oh, the leverage of..."", ""Chorus: Shade, shade, shade, the leverage of, the leverage of"", ""Space, shade, shade, the leverage of, the leverage of"", ""Bridge: When I was down upon myself I walked a road thats always there you and I were everywhere and I'm alone"", ""She would never know the reason that I loved to come and see her where she sits I'll never go you know it's always there"", ""Outro: the leverage of, the leverage of"""
62,did i let you know   ,"""I'm comin' for you 'cause 'cause I adore you and I'd like to get inside your mass production This indecision has has got me cringin' well I can't resist the smell of your seduction"", ""Did I let you know? Would you like to go? Unwrap the package with a mutt persuasion Did I let you know? Would you like to go? I wanna dance to every day's occasion"", ""This I know, yeah this I know (Take me home, well take me home) This I know we're not alone (Take me home, take me home)"", ""When we envision, lack of division and The planet does another revolution The day I blew on ya you said I grew on ya Turns out that we are all the one solution Go!"", ""I'm comin' at you well, you are the cap too and I like the sound of your articulations Want to arouse her and maybe espouse her well She showed me love with out the stipulations"", ""This I know, yeah this I know (Take me home, well take me home) This I know we're not alone (Take me home, take me home)"", ""I wanna lean on you, get Jan and Dean on ya It's time to sway a little mass perception I like you cheeky well, so Mozambiquey and I think the world could use a clear connection"", ""This I know, yeah this I know (Take me home, well take me home) This I know we're not alone (Take me home, take me home)"", ""This I know, hell this I know (Take me home, well take me home) This I know we're not alone (Take me home, take me home)"", ""Did I let you know? Would you like to go? Did I let you know? Would you like to go? Did I let you know? Would you like to go?"""
63,naked in the rain   ,"""Standin' on the corner of civilization There's a time there's a place for me In a world where I can't be found Cold and mean people give me the creeps"", ""Going to the jungle where the elephant roams Got to get away gonna make it my home"", ""Losing my taste for the human race Social grace is a waste of time It's absurd when I look around So sublime that we blow my mind"", ""Naked in the rain with a killer whale I can't taste the salt when I lick his tail"", ""Naked in the rain Doctor Doolittle what's your secret Give it to me doctor Don't keep it"", ""I never met an animal that I didn't like You can come to me I won't bite Don't you know dog is man's best friend There is some love that you can't fight"", ""Naked in the rain with black tattoos Runnin' through the woods laughing at the blues"", ""Naked in the rain Doctor Doolittle what's your secret Give it to me doctor Don't keep it"", ""Listen to the talking heart in my chest With this gift good Lord I am blessed There's a lump and it's in my throat I'm in love with the wilderness"", ""Naked in the river skinny dippin' my way In the waterfall I just wanna play Naked in the rain Doctor Doolittle what's your secret Give it to me doctor Don't keep it Naked in the rain Doctor Doolittle what's your secret Give it to me doctor Don't keep it"""
64,flea fly   ,"""Flea! Flea! Flea fly! Flea fly! Flea fly flo! Flea fly flo! Beestay! Beestay! A koomalada koomalada koomalada beestay! A koomalada koomalada koomalada beestay! Oh no no no not the beestay! Oh no no no not the beestay!"", ""Eeny meeny exla meeny exla meeny solo meeny eeny meeny exla meeny solo meeny so! Eeny meeny exla meeny exla meeny solo meeny eeny meeny exla meeny solo meeny so!"", ""A weepasop eepasop eepasop a little and a rum scum tum and a time a yo weepasop eepasop eepasop a little and a lily o lily o spilly o blow! A weepasop eepasop eepasop a little and a rum scum tum and a time a yo! Shut up!"""
65,no chump love sucker   ,"""She's a witch A bat A bonafide bore What's more - she snores And that is a fact Cow eyes lie Yes it's time to resist How did I ever Get into this How could I ever Have kissed that bitch So what if she's Got big tits"", ""She's the kinda girl Who changes her mind really quick She's the kinda girl who Won't just let things sit"", ""She came like a cat Like a cat to cat nip She came in my lap With her womanly hips When I first met her I came unglued I played the part of A blueblooded fool I'm through with your sewage I'm through with your trash I always knew that I'd Get the last laugh"", ""She's the kinda girl Who changes her mind really quick She's the kinda girl who Won't just let things sit"", ""Like two trains on one track Bound for a crash Two red white and blues we were Destined to clash I can't fix the future I can't change the past Like fly by night news We were not meant to last I'm through with your bluefish I'm through with your gash I'm through being screwed with by You and your wack attack"", ""Jump back for chump love You won't be back for cover But no no no no I'm no chump love sucker"", ""No chump love sucker No chump love sucker No chump love sucker No chump love sucker"", ""No chump love sucker"", ""I thought that your love Was a matter of fact But I lost my pride When I realized that The smack in my bag And my baseball bat Was all you were after You dirty rat She's a bitch and a brat And a living disaster She thought she was fast But I was faster"", ""No chump love sucker No chump love sucker No chump love sucker No chump love sucker No chump love sucker No chump love sucker No chump love sucker No chump love sucker"""
66,buckle down   ,"""Hah! On the ice No holdin' My soul I want men Not mice No stoppin' My throw"", ""Hah! Get this! Red star Black fist Work Or play ball Or just turn me loose"", ""I know what's right, in life, you better buckle down Don't give up your fight, in life, you better buckle down Two days with might, in life, you better buckle down Leave dreams tonight, in life, you better buckle down 'Cos I know what's right!"", ""Hah! On the ice No holdin' My soul I want men Not mice No stoppin' My throw"", ""Hah! Get this! Reds are Back bills Work Or play ball Or just turn me loose"", ""I know what's right, in life, you better buckle down Don't give up your fight, in life, you better buckle down Two days with might, in life, you better buckle down Leave dreams tonight, in life, you better buckle down 'Cos I know what's right!"", ""I know, I know, I know what's right! I know, I know, I know what's right! I know, I know, I know what's right! I know, I know, I know what's right!"""
67,turn it again   ,"""Some of us get a little And some a lot We've got to make due With what ever we got We get it hot we cool it down And then we pass it around"", ""You can dance For the sake of a golden day Take a chance on getting rid Of whatever's in your way Next stop big hop Is turning night into day"", ""Sometimes when I'm lying there all alone I think of every little nothing That we could own To overthrow all of you Who have overgrown"", ""All my friends Like to spend Days on end On the mend I turn to you, I turn into And then I turn it again"", ""Here we go All we know Heavy load Start to float Without a doubt, we turn it out And then we turn it again"", ""I've come to learn Whatever time I can find to spend Taking flight into Whatever light we bend Out in the street I get a beat and then I turn it to ten"", ""Lace boots and the Ladies of Kasakstan Kick 'em high to the sky All of this just because we can I turn to Cuba Then Aruba then the Dominican"", ""All my friends Like to spend Days on end On the mend I turn to you, I turn into And then I turn it again"", ""Here we go All we know Heavy load Start to float Without a doubt, we turn it out And then we turn it again"", ""(Two things I want to say now You make it all okay now I need to know that you are there)"", ""We've got to move it If we want to do our best We've got to shake it If we want to keep it fresh"", ""I'm turning down All the heavy psychology To cut a rug And I make no apology I turn a cheek, I turn a key And then I turn it for free"", ""We've got to move it Just a little to hit the spot A whirling dervish in a flurry A fox to trot Come clown around, a robot Doin' the astronaut"", ""All my friends Like to spend Days on end On the mend I turn to you, I turn into And then I turn it again Here we go All we know Heavy load Start to float Without a doubt, we turn it out And then we turn it again (Two things I want to say now You make it all okay now I need to know that you are there)"""
68,especially in michigan   ,"""Life is my friend Rake it up to take it in Wrap me in your cinnamon Especially in Michigan ...well, I could be your friend"", ""White clouds, I'm in A mitten full of fisherman C'mon Huckleberry Finn Show me how to make her grin ...well I'm in Michigan"", ""Cry me a future Where the revelations run amok Ladies and gentlemen Lions and tigers come running Just to steal your luck"", ""(A rainy Lithuanian Who's dancing as an Indian Painted in my tiger skin Especially in Michigan)"", ""Double chins and bowling pins Unholy Presbyterians Land is full of medicine I find it when I'm slipping in ...all into Michigan"", ""(The tainted new librarian Who fainted when she tucked you in Let's float away like zeppelins On stoic gusts of Northern wind)"", ""Cry me a future Where the revelations run amok Ladies and gentlemen Lions and tigers come running Just to steal your luck"", ""Out on the farm we'll be Swimming with the mother duck Deep in the mitten where Lions and tigers come running Just to steal your luck"", ""Life is my friend Underwater violins Order now from Ho Chi Min A porcelain that comes in twins ...when I'm in Michigan"", ""(Throw me in the looney bin 'Cause I can take it on the chin The cleavage of your pillow skin Is moving like a violin)"", ""Cry me a future Where the revelations run amok Ladies and gentlemen Lions and tigers come running Just to steal your luck Out on the farm we'll be Swimming with the mother duck Deep in the mitten where Lions and tigers come running Just to steal your luck"""
69,road trippin   ,"""Road trippin' with my two favorite allies Fully loaded we got snacks and supplies It's time to leave this town It's time to steal away Let's go get lost Anywhere in the U.S.A."", ""Let's go get lost Let's go get lost"", ""Blue you sit so pretty West of the one Sparkles light with yellow icing Just a mirror for the sun Just a mirror for the sun Just a mirror for the sun These Smiling eyes are just a mirror for"", ""So much as come before those battles lost and won This life is shining more forever in the sun Now let us check our heads And let us check the surf Staying high and dry's More trouble than it's worth In the sun Just a mirror for the sun Just a mirror for the sun Just a mirror for the sun These Smiling eyes are just a mirror for"", ""In Big Sur we take some time to linger on We three hunky dory's got our snake finger on Now let us drink the stars It's time to steal away Let's go get lost Right here in the U.S.A Let's go get lost Let's go get lost"", ""Blue you sit so pretty West of the one Sparkles light with yellow icing Just a mirror for the sun Just a mirror for the sun Just a mirror for the sun"", ""These smiling eyes are just a mirror for These smiling eyes are just a mirror for Your smiling eyes are just a mirror for"""
70,police helicoptor   ,"""Aw!"", ""Police helicopter shot the sky Police helicopter landin' on my eye"", ""Yeah!"", ""Police helicopter takes a nose-dive Police helicopter, he ain't shy"", ""Yeah!"", ""Aw!"", ""Police helicopter shot the sky Police helicopter landin' on my eye"", ""Yeah!"", ""Police helicopter takes a nose-dive Police helicopter, he ain't shy"", ""Yeah!"", ""Aww!"""
71,shes only 18   ,"""She's only 18 Don't like the Rolling Stones She took a short cut To being fully grown"", ""She's got that mood ring A little sister rose The smell of Springsteen A pair of pantyhose"", ""This talking picture show Is leaking from a silhouette She said my man you know It's time to get your fingers wet"", ""Your hustle's busted when You can't afford a cigarette The last I heard from you Were you screaming \""handle it\"""", ""(Knock the world) Right off its feet and straight onto its head (The book of love) Will long be laughing after you are dead"", ""(Fascinated) By the look of yound what was said (Make a play) For all the brightest minds and light will shed"", ""I heard some P-Funk Out on the road again To get your head shrunk Is what I recommend"", ""It's in your bloodline A perfect Frankenstein Out on that lone pine I'm gonna make you mine"", ""It's understood you wrap Your voodoo right around my neck You've got some glitter on your Kitty at the discotheque"", ""I put my lovin' in your oven Not a head to check The last I heard from you Were you screaming \""resurrect\"""", ""(Knock the world) Right off it's feet and straight onto it's head (The book of love) Will long be laughing after you are dead"", ""(Fascinated) By the look of you and what was said (Make a play) For all the brightest minds and light will shed"", ""(Knock the world) Right off its feet and straight onto its head (The book of love) Will long be laughing after you are dead"", ""(Fascinated) By the look of you and what was said Make a play for all the Brightest minds and light will shed"""
72,havana affair   ,"""PT-boat on the way to Havana I used to make a livin' man Pickin' the banana Now I'm a guide for the CIA Hooray for the USA"", ""Baby, baby, make me a loco Baby, baby, make me a mambo"", ""Sent to spy on a Cuban talent show First stop, Havana au go go I used to make a livin' man Pickin' the banana Hooray for Havana"", ""Baby, baby, make me a loco Baby, baby, make me a mambo Oh oh"", ""PT-boat on the way to Havana I used to make a livin' man Pickin' the banana Now I'm a guide for the CIA Hooray for the USA"", ""Baby, baby, make me a loco Baby, baby, make me a mambo Oh oh, oh oh"", ""Sent to spy on a Cuban talent show First stop, Havana au go go I used to make a livin' man Pickin' the banana Hooray for Havana"", ""Baby, baby, make me a loco Baby, baby, make me a mambo Oh oh, oh oh"""
73,funny face   ,"""It must have been your funny face It must have been your love Must have been your paper chase That wasn't quite enough"", ""Must have been your tiny dance that Made me laugh out loud Must have been your angel dust that Put me on your cloud"", ""You're the reason why You're the reason I"", ""It must have been your love It must have been your love... I said"", ""It must have been your love... in a little bit It must have been your love"", ""It must have been your poppy eyes That made me step outside It must have been the sight of tears that Let me know I cried"", ""It must have been your bunny shake It must have been your love A lot of girls won't come around they Treat me like a wolf"", ""It must have been your love It must have been your love... I said It must have been your love... I gotta give it that It must have been your love"", ""You're my angel, baby You're my darling You're my star Lo-lo-lo-lolita Let her see me deep in love"", ""You're the reason why You're the reason I"", ""It must have been your love It must have been your love It must have been your love It must have been your love"", ""You're my angel baby You're my darling You're my star Lo-lo-lo-lolita Let her see me deep in love"", ""Lopsided eyes and a crooked frown Make more of life, just settle down Every single little princess needs a crown Make more of life, just settle down"", ""It must have been your love It must have been your love It must have been your love It must have been your love"""
74,sex rap   ,"""Time to swing a little melody To make you all feel something sexually And now we're gonna get it on in the groove The groove that makes those smooth hips move We are pumpin' that drivin' bad rythm To make those pretty little pussy lips schism Kissum kissum kissum"", ""In the mind is one design To make you feel fine Suckin' on mine with a 69 I'm inclined to fuck, fuck, fuck, fuck your brains out For the moment, come on now, make her shout Pump that leman 'till it pouts"", ""Open your legs to the sensual sound With the beauty of the beat on your pretty wet mound I can tell you're like a horny bloodhound Feel the bass, hug the ground Just drop your knees and come unbound And now you make your mouth to get on down"", ""Our lust for notes will boil your blood When they slither and slide on under your hood Makin' me shoot my power packed pud Like a wild lady lovin' a viable stud Because of what is know as a juicy wet pud Gettin' it gettin' it gettin' it good"", ""In my head, as a hellified hum I take to rubbin' her on the bum Adjust the lips some on the tongue With my thumb I strum her plum Start to make her orgasm Tastes a little bit like, ooh, how rum"", ""Well I like to make her cum To the rythm of the drums Make cum, make cum, cum"""
75,sexy mexican maid   ,
76,fortune faded   ,"""They say in chess you've got to kill the queen and then you made it Oh why - do you?"", ""A funny thing the king who gets himself assasinated Hey now, every time I lose - altitude"", ""You took a town by storm the mess you made was nominated Oh I - Do you?"", ""Now put away your welcome, soon you'll find you've over stayed it Hey now, every time I lose - altitude"", ""So divine, hell of an elevator, all the while my fortune faded Never Mind, the consequences of the crime this time my fortune's faded"", ""The medicated state of mind you've found is over rated Oh I - Do you?"", ""You saw it all come down and now its time to imitate it Hey now, every time I lose - altitude"", ""So divine, hell of an elevator, all the while my fortune faded Never Mind, the consequences of the crime this time my fortune's faded"", ""Come on god, do I seem bullet proof..."", ""So divine, hell of an elevator, all the while my fortune faded Never Mind, the consequences of the crime this time's my fortune's faded"", ""So divine, hell of an elevator, all the while my fortune faded Never Mind, the consequences of the crime this time's my fortune's faded"""
77,snow   ,"""Come to decide that The things that I tried Were in my life Just to get high on"", ""When I sit alone Come get a little known But I need more Than myself this time"", ""Step from the road To the sea to the sky And I do believe That we rely on"", ""When I lay it on Come get to play it on All my life to sacrifice"", ""Hey oh Listen what I say oh I got your hey oh Now listen what I say oh"", ""When will I know That I really can't go To the well once more Time to decide on"", ""When it's killing me When will I really see All that I need to look inside"", ""Come to believe That I better not leave Before I get my chance to ride"", ""When it's killing me What do I really need All that I need to look inside"", ""Hey oh Listen what I say oh Come back and hey oh Look at what I say oh"", ""The more I see, the less I know The more I like to let it go Hey oh, woah"", ""Deep beneath the cover Of another perfect wonder Where it's so white as snow"", ""Privately divided By a world so undecided And there's nowhere to go"", ""In between the cover Of another perfect wonder Where it's so white as snow"", ""Running through the field Where all my tracks Will be concealed And there's nowhere to go"", ""When to descend To amend for a friend All the channels That have broken down"", ""Now you bring it up I'm gonna ring it up Just to hear you sing it out"", ""Step from the road To the sea to the sky And I do believe What we rely on"", ""When I lay it on Come get to play it on All my life to sacrifice"", ""Hey oh Listen what I say oh I got your hey oh Listen what I say oh"", ""The more I see the less I know The more I like to let it go Hey oh, woah"", ""Deep beneath the cover Of another perfect wonder Where it's so white as snow"", ""Privately divided By a world so undecided And there's nowhere to go"", ""In between the cover Of another perfect wonder Where it's so white as snow"", ""Running through the field Where all my tracks Will be concealed And there's nowhere to go I said hey, hey, yeah Oh yeah, tell my love now Hey, hey, yeah Oh yeah, tell my love now Deep beneath the cover Of another perfect wonder Where it's so white as snow Privately divided By a world so undecided And there's nowhere to go Deep beneath the cover Of another perfect wonder Where it's so white as snow Running through the field Where all my tracks Will be concealed And there's nowhere to go I said hey, oh yeah Oh yeah, tell my love now Hey, yeah, yeah, oh yeah"""
78,tear   ,"""This is my time This is my tear I can see clearly now that this is not a place For playing solitaire Tell me where you want me This is my time This is my tear"", ""Coming on strong Baudelaire Seems to me like all the world gets high When you take a dare Let it rise before you This is my crime"", ""All in all and I'm Loving every rise and fall The sun will make and I will take Breath to be sure of this In the end and then All will be forgiven When surrender rises high and I Gave what I came to give Say it now because you never know"", ""Devil may cry, devil may care Distiller's got a scream And now I know just why When she's moving air Can you feel the voltage? This is my time"", ""California skies Got room to spare This is my time"", ""All in all and I'm Loving every rise and fall The sun will make and I will take Breath to be sure of this In the end and then All will be forgiven When surrender rises high and I Gave what I came to give Say it now because you never know Oh, never know"", ""Take it outside Take it out there Seems to me like All the world gets high When you take a dare In the final moment This is my time"", ""All in all and I'm Loving every rise and fall The sun will make and I will take Breath to be sure of this In the end and then All will be forgiven When surrender rises high and I Gave what I came to give Say it now because you never know Oh, never know"""
79,i feel love donna summers cover   ,"""Ooh fallin' free, fallin' free fallin' free, fallin' free fallin' free"", ""Ooh you and me, you and me you and me, you and me you and me"", ""Ooh I feel love, I feel love I feel love, I feel love I feel love"", ""I feel love  I feel love I feel love"", ""Ooh"""
