geo,name,four_regions,eight_regions,six_regions,Latitude,Longitude,,,,,
jam,Jamaica,americas,america_north,america,18.16667,-77.25,,,,,
jpn,Japan,asia,east_asia_pacific,east_asia_pacific,35.68536,139.75309,,,,,
jor,Jordan,asia,asia_west,middle_east_north_africa,31,36,,,,,
kaz,Kazakhstan,asia,asia_west,europe_central_asia,48,68,,,,,
ken,Kenya,africa,africa_sub_saharan,sub_saharan_africa,1,38,,,,,
kir,Kiribati,asia,east_asia_pacific,east_asia_pacific,1.421,172.984,,,,,
prk,North Korea,asia,east_asia_pacific,east_asia_pacific,40,127,,,,,
kor,South Korea,asia,east_asia_pacific,east_asia_pacific,36.5,127.75,,,,,
kwt,Kuwait,asia,asia_west,middle_east_north_africa,29.36972,47.97833,,,,,
kgz,Kyrgyz Republic,asia,asia_west,europe_central_asia,41.5,75,,,,,
lao,Lao,asia,east_asia_pacific,east_asia_pacific,18,105,,,,,
lva,Latvia,europe,europe_east,europe_central_asia,57,25,,,,,
lbn,Lebanon,asia,asia_west,middle_east_north_africa,33.83333,35.83333,,,,,
lso,Lesotho,africa,africa_sub_saharan,sub_saharan_africa,-29.5,28.25,,,,,
lbr,Liberia,africa,africa_sub_saharan,sub_saharan_africa,6.5,-9.5,,,,,
lby,Libya,africa,africa_north,middle_east_north_africa,28,17,,,,,
lie,Liechtenstein,europe,europe_west,europe_central_asia,47.16667,9.53333,,,,,
ltu,Lithuania,europe,europe_east,europe_central_asia,55.41667,24,,,,,
lux,Luxembourg,europe,europe_west,europe_central_asia,49.61167,6.13,,,,,
mkd,"Macedonia, FYR",europe,europe_east,europe_central_asia,41.66667,21.75,,,,,
mdg,Madagascar,africa,africa_sub_saharan,sub_saharan_africa,-20,47,,,,,
mwi,Malawi,africa,africa_sub_saharan,sub_saharan_africa,-13.5,34,,,,,
mys,Malaysia,asia,east_asia_pacific,east_asia_pacific,2.5,112.5,,,,,
mdv,Maldives,asia,asia_west,south_asia,3.2,73,,,,,
mli,Mali,africa,africa_sub_saharan,sub_saharan_africa,18,-2,,,,,
mlt,Malta,europe,europe_west,europe_central_asia,35.91667,14.43333,,,,,
mhl,Marshall Islands,asia,east_asia_pacific,east_asia_pacific,7.113,171.236,,,,,
mrt,Mauritania,africa,africa_sub_saharan,sub_saharan_africa,20.25,-10.5,,,,,
mus,Mauritius,africa,africa_sub_saharan,sub_saharan_africa,-20.3,57.58333,,,,,
mex,Mexico,americas,america_north,america,19.42847,-99.12766,,,,,
fsm,"Micronesia, Fed. Sts.",asia,east_asia_pacific,east_asia_pacific,6.924,158.162,,,,,
mda,Moldova,europe,europe_east,europe_central_asia,47.25,28.58333,,,,,
mco,Monaco,europe,europe_west,europe_central_asia,43.73333,7.41667,,,,,
mng,Mongolia,asia,east_asia_pacific,east_asia_pacific,46,105,,,,,
mne,Montenegro,europe,europe_east,europe_central_asia,42.75,19.25,,,,,
mar,Morocco,africa,africa_north,middle_east_north_africa,32,-6,,,,,
moz,Mozambique,africa,africa_sub_saharan,sub_saharan_africa,-18.25,35,,,,,
mmr,Myanmar,asia,east_asia_pacific,east_asia_pacific,21,96,,,,,
nam,Namibia,africa,africa_sub_saharan,sub_saharan_africa,-22,17,,,,,
nru,Nauru,asia,east_asia_pacific,east_asia_pacific,-0.517,166.933,,,,,
npl,Nepal,asia,asia_west,south_asia,28,84,,,,,
nld,Netherlands,europe,europe_west,europe_central_asia,52.25,5.75,,,,,
nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,-42,174,,,,,
nic,Nicaragua,americas,america_north,america,13,-85,,,,,
ner,Niger,africa,africa_sub_saharan,sub_saharan_africa,18,9,,,,,
nga,Nigeria,africa,africa_sub_saharan,sub_saharan_africa,10,8,,,,,
nor,Norway,europe,europe_west,europe_central_asia,62,10,,,,,
omn,Oman,asia,asia_west,middle_east_north_africa,21,57,,,,,
pak,Pakistan,asia,asia_west,south_asia,30,70,,,,,
plw,Palau,asia,east_asia_pacific,east_asia_pacific,7.503,134.621,,,,,
pan,Panama,americas,america_north,america,8.9936,-79.51973,,,,,
